epoch: 8, nrg_mae: 16.26544761657715 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 16.13087272644043 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 15.98027515411377 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 15.710402488708496 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 15.4297513961792 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 15.4297513961792 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 15.56200122833252 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 15.343904495239258 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 15.419026374816895 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 15.318588256835938 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 15.921731948852539 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 15.00133228302002 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 27.935768127441406 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 14.977204322814941 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 14.797179222106934 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 14.548954010009766 meV/atom, force_mae: 0 meV/AA
epoch: 9, nrg_mae: 13.594385147094727 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 13.594385147094727 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 13.300641059875488 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 20.410888671875 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 12.943434715270996 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 12.84886646270752 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 12.6964693069458 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 12.668462753295898 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 12.449542999267578 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 11.943201065063477 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 11.339580535888672 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 11.343606948852539 meV/atom, force_mae: 0 meV/AA
epoch: 10, nrg_mae: 11.180206298828125 meV/atom, force_mae: 0 meV/AA
validation: epoch: 10, nrg_mae: 13.477246284484863 meV/atom, force_mae: 0 meV/AA
test: epoch: 10, nrg_mae: 13.477246284484863 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 11.180206298828125 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 11.23923397064209 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 11.01723861694336 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 10.257284164428711 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 10.093720436096191 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 9.594746589660645 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 10.094861030578613 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 9.305826187133789 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 9.207784652709961 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 9.271073341369629 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 8.745697975158691 meV/atom, force_mae: 0 meV/AA
epoch: 11, nrg_mae: 8.861299514770508 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 8.861299514770508 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 8.752652168273926 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 8.594575881958008 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 8.34648609161377 meV/atom, force_mae: 0 meV/AA
